frame, timestamp, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
84,3.30652,1.02221,0.257807,0,0.039473,0.78592,2.17249,0.419858,1.76455,0,0,1.6919,3.28629,0.262581,0.706727,0,0,0.0166322
85,3.34636,1.01231,0.361002,0,0.039473,0.818905,2.1144,0.38183,1.70772,0,0,1.50116,3.35456,0.308329,0.758327,0,0,0
86,3.38619,1.05834,0.407688,0,0.039473,0.796037,2.0153,0.315031,1.63042,0,0,1.40898,3.25647,0.248757,0.810161,0.00747416,0.128029,0
87,3.42603,1.15692,0.472615,0,0,0.750198,1.99428,0.295574,1.8136,0,0,1.36312,3.18108,0.0654522,0.904502,0.0610495,0.128029,0
88,3.46587,1.08483,0.340577,0,0,0.73272,1.93432,0.412142,1.7899,0,0,1.54809,3.42954,0.137795,0.897906,0.0610495,0.128029,0
89,3.50571,1.00712,0.224062,0,0,0.752611,1.86031,0.61328,1.90195,0,0,1.65127,3.80492,0.207051,0.833713,0.0876175,0,0
90,3.54554,0.94905,0.0908266,0,0,0.769934,1.96187,0.59778,1.81999,0,0,1.57669,3.88613,0.225686,0.751181,0.0473961,0,0
91,3.58538,1.05819,0.162454,0,0,0.747495,2.02505,0.440272,1.86568,0,0,1.53714,3.71913,0.133819,0.850198,0.0473961,0.256603,0
92,3.62522,1.06473,0.199854,0,0,0.729473,2.0682,0.387726,1.71798,0,0,1.3861,3.119,0.0645635,0.924113,0.0564622,0.256603,0
93,3.66506,1.08784,0.158502,0,0,0.668573,1.82775,0.332369,1.69074,0,0,1.4162,3.02838,0.0262245,1.05326,0.0431083,0.284042,0
94,3.70489,1.00321,0.181235,0,0,0.676348,1.78121,0.334728,1.71931,0,0,1.40069,3.0381,0,0.939598,0.0431083,0.0274389,0
95,3.74473,1.01733,0.231481,0,0,0.649452,1.7013,0.306213,1.75821,0,0,1.48263,3.40283,0,0.897404,0.031921,0.0274389,0
96,3.78457,0.970294,0.28911,0,0,0.708278,1.91168,0.403691,1.80894,0,0,1.35455,3.44336,0.0122718,0.783692,0.031921,0,0
97,3.82441,0.963364,0.239595,0,0,0.743208,1.89232,0.545589,1.78308,0,0,1.41385,3.4658,0.083475,0.823195,0.0601421,0.0368992,0
98,3.86424,0.948517,0.187217,0,0,0.780645,1.90638,0.589053,1.9619,0,0,1.60873,3.38572,0.083475,0.810278,0.0282212,0.127666,0.00707334
99,3.90408,0.991969,0.129058,0,0,0.7527,1.8485,0.565999,1.81611,0,0,1.84854,3.21715,0.0712033,0.805748,0.0282212,0.127666,0.0207574
100,3.94392,1.01185,0.166064,0,0,0.743433,1.85762,0.569897,1.8463,0,0,1.74728,3.31755,0,0.785686,0.062769,0.0907669,0.0291394
101,3.98376,1.0418,0.233924,0,0,0.750295,1.95605,0.544196,1.76876,0,0,1.66734,3.48524,0,0.678634,0.062769,0.167123,0.0279135
102,4.02359,1.00365,0.264241,0,0,0.727254,2.01417,0.463397,1.85498,0,0,1.54189,3.62127,0,0.747604,0.0700167,0.220269,0.0404772
103,4.06343,1.00014,0.254849,0,0,0.72123,2.1468,0.431758,1.83566,0,0,1.50515,3.51807,0,0.721101,0.0222027,0.220269,0.0320951
104,4.10327,0.962141,0.176966,0,0,0.723606,2.12764,0.447984,1.76807,0,0,1.43976,3.41085,0,0.730602,0.0222027,0.0531463,0.0262477
105,4.14311,0.897405,0.112555,0,0,0.758187,2.08557,0.572885,1.81498,0,0,1.59953,3.39693,0,0.658786,0.014955,0.0430344,0.0172905
106,4.18294,0.870905,0.0400934,0,0,0.738195,2.08284,0.618979,1.72766,0,0,1.57518,3.38983,0,0.610604,0,0.0430344,0.0244803
107,4.22278,0.917925,0.0372991,0,0,0.747588,2.18717,0.672585,1.71113,0,0,1.66788,3.43813,0,0.663993,0,0.0951799,0.0244803
108,4.26262,0.941038,0.0657993,0,0,0.77157,2.21413,0.667507,1.7917,0,0,1.41566,3.49938,0,0.678205,0,0.0521455,0.00718981
109,4.30246,1.04657,0.189252,0,0,0.779463,2.18524,0.649387,1.93062,0,0,1.43325,3.56159,0.058796,0.743457,0,0.0521455,0
110,4.34229,1.10567,0.229735,0,0,0.758636,2.21862,0.625684,1.97082,0,0,1.21102,3.58891,0.058796,0.690635,0,0,0
111,4.38213,1.17842,0.268607,0,0,0.729317,2.15965,0.619544,1.9522,0,0,1.30221,3.63965,0.058796,0.778053,0.00309784,0,0
112,4.42197,1.06745,0.145155,0,0,0.725736,2.12619,0.532425,1.7743,0,0,1.36567,3.62717,0,0.758281,0.00309784,0,0
113,4.46181,0.980831,0.126584,0,0,0.714323,2.03861,0.513845,1.74405,0,0,1.51253,3.60651,0,0.832686,0.00309784,0.011092,0
114,4.50164,0.948385,0.048174,0,0,0.754802,2.17211,0.589373,1.79054,0,0,1.72139,3.59297,0.145659,0.720797,0,0.011092,0
115,4.54148,1.03474,0.156474,0,0.0143716,0.717443,2.28635,0.638443,1.90631,0,0,1.86349,3.64377,0.145659,0.747333,0,0.011092,0
116,4.58132,1.0577,0.148357,0,0.0143716,0.734886,2.37237,0.60346,1.89514,0,0,1.92254,3.64198,0.145659,0.749158,0,0,0
117,4.62116,1.0056,0.173805,0,0.0143716,0.696396,2.19551,0.464862,1.78311,0,0,1.71119,3.40531,0,0.815912,0,0,0
118,4.661,0.982245,0.14664,0,0,0.725518,2.09513,0.495657,1.85251,0,0,1.5123,3.31223,0,0.823094,0,0,0
119,4.70083,0.945071,0.191576,0,0.0289375,0.747743,2.0759,0.512901,1.94669,0,0,1.44836,3.26925,0,0.713592,0,0,0.0470991
120,4.74067,0.910238,0.19923,0,0.0289375,0.785008,2.24805,0.593543,1.93521,0,0,1.45494,3.2515,0.0700071,0.615532,0.00652384,0,0.0916337
121,4.78051,0.905983,0.236317,0,0.0289375,0.790036,2.14381,0.621624,1.83606,0,0,1.47532,3.37193,0.0791594,0.610738,0.0931891,0,0.0916337
122,4.82035,0.924441,0.214362,0,0,0.773609,1.91616,0.642365,1.82661,0,0,1.42279,3.5472,0.124508,0.787333,0.0931891,0,0.0445346
123,4.86018,0.952663,0.262847,0,0,0.743381,1.77667,0.573282,1.80871,0,0,1.37313,3.56715,0.171778,0.908297,0.102793,0,0
124,4.90002,0.970484,0.255556,0,0,0.770105,1.99544,0.494277,1.8479,0,0,1.57722,3.49253,0.162626,0.875636,0.0161282,0,0
125,4.93986,0.978684,0.283928,0,0,0.782525,2.22922,0.366056,1.85387,0,0,1.6821,3.42386,0.263284,0.872456,0.0161282,0,0
126,4.9797,0.838491,0.259407,0.723114,0,0.8507,1.89445,0.231389,1.66,0.288384,0.0529839,1.2544,2.43472,0.146006,0.568084,0.82319,0.862574,0.266431
127,5.01953,0.592573,0.148476,1.49764,0,0.866851,1.52393,0.0955934,1.45026,0.648558,0.11163,0.587551,1.2724,0.146006,0.325721,1.67325,1.78873,0.513279
128,5.05937,0.434548,0.0570676,2.2108,0,0.851306,1.10668,0.0254656,1.21243,1.04029,0.259551,0,0.0808798,0,0,2.42432,2.64877,0.695752
129,5.09921,0.536825,0,2.16278,0,0.740168,1.08651,0.00355482,1.19888,1.1338,0.362609,0,0,0,0.00651817,2.40832,2.56809,0.548999
130,5.13905,0.748149,0,1.9681,0,0.64696,0.904721,0.00355482,1.12421,1.17679,0.455485,0,0.0268654,0,0.030943,2.30407,2.41211,0.391355
131,5.17888,0.915211,0,1.84206,0,0.578719,0.830379,0,1.09054,1.16884,0.517467,0,0.0270338,0,0.0389425,2.20007,2.30912,0.260735
132,5.21872,1.02809,0,1.78219,0,0.544523,0.766826,0,1.06636,1.16886,0.578842,0,0.0270338,0,0.0390046,2.07973,2.24918,0.16467
133,5.25856,1.0727,0,1.8155,0,0.501058,0.792569,0,1.05606,1.12871,0.654864,0,0.0267708,0,0.0317585,2.02472,2.16506,0.0981317
134,5.2984,1.12659,0,1.87336,0,0.466792,0.775417,0,1.04047,1.11924,0.679241,0,0.0540121,0,0.0369952,2.07576,2.08131,0.0705218
135,5.33823,1.12443,0,1.86929,0,0.467052,0.709244,0,1.064,1.12361,0.703723,0,0.0958913,0,0.0374123,2.04432,2.02961,0.0636265
136,5.37807,1.13222,0,1.83874,0,0.478584,0.615193,0,1.08675,1.14102,0.700212,0,0.108708,0,0.0303682,2.01562,2.00031,0.0453973
137,5.41791,1.05927,0,1.76173,0,0.493216,0.583908,0,1.1017,1.13964,0.704471,0,0.0948891,0,0.0206756,1.97056,1.95991,0.0319226
138,5.45775,1.07816,0.0149595,1.72987,0,0.46911,0.602664,0.0123271,1.07052,1.13516,0.692597,0,0.0660875,0,0.0266746,1.92896,1.99846,0.0152046
139,5.49758,1.04516,0.0149595,1.72538,0,0.466541,0.647036,0.02263,1.04042,1.12865,0.692908,0,0.0266688,0,0.0186499,1.88559,1.98004,0.0107686
140,5.53742,1.09995,0.0149595,1.73109,0,0.464411,0.610392,0.02263,1.0151,1.14194,0.640469,0,0.0130776,0,0.0163318,1.86031,1.99452,0
141,5.57726,1.08224,0,1.71025,0,0.462206,0.655404,0.0133124,1.00931,1.1383,0.6058,0,0.0104817,0,0.00550161,1.88834,1.9186,0
142,5.6171,1.09561,0,1.70103,0,0.458234,0.665818,0.0103626,1.00494,1.14148,0.584203,0,0.0114275,0,0.0037353,1.90099,1.91485,0
143,5.65693,1.0804,0,1.69593,0,0.446155,0.679822,0.0103626,0.98591,1.13413,0.600159,0,0.0114275,0,0.00790328,1.89698,1.91096,0
144,5.69677,1.08084,0,1.70245,0,0.447803,0.688876,0.00735308,0.982784,1.13159,0.609848,0,0.000945874,0,0.00696984,1.88916,1.91819,0
145,5.73661,1.09189,0,1.7064,0,0.446388,0.689611,0.00489142,0.997615,1.13366,0.609275,0,0,0,0.00799228,1.89296,1.90973,0
146,5.77645,1.09496,0,1.70954,0,0.450642,0.684989,0.00836341,1.0098,1.13541,0.60175,0,0,0,0.00259901,1.8826,1.91618,0
147,5.81628,1.09638,0,1.71243,0,0.460647,0.641636,0.0112971,0.980507,1.14484,0.581935,0,0,0,0.00136624,1.90222,1.93829,0
148,5.85612,1.08655,0,1.70393,0,0.465457,0.66535,0.0064057,0.973038,1.14556,0.579275,0,0.00373574,0,0.00142982,1.89095,1.93898,0.00281768
149,5.89596,1.06822,0,1.69444,0,0.461768,0.722045,0.00463405,0.984729,1.14073,0.585803,0,0.0146921,0,0.0079819,1.91573,1.91044,0.00281768
150,5.9358,1.0608,0,1.6882,0,0.450424,0.748914,0.00170035,1.0128,1.13431,0.590782,0,0.019906,0,0.012564,1.88261,1.87698,0.00281768
151,5.97563,1.07423,0,1.69712,0,0.453554,0.664766,0.00170035,0.997666,1.13913,0.578101,0,0.0161702,0,0.0111481,1.92493,1.90662,0
152,6.01547,1.09367,0,1.68499,0,0.455296,0.644079,0,0.981089,1.14466,0.570015,0,0.00521389,0,0.00848645,1.93008,1.91838,0
153,6.05531,1.08422,0,1.69311,0,0.453444,0.660949,0.00189619,0.985101,1.14325,0.574594,0,0.00413551,0,0.00633885,1.95426,1.92264,0
154,6.09515,1.08003,0,1.69266,0,0.438317,0.726404,0.00518325,1.00952,1.13312,0.591027,0,0.00492948,0,0.00883473,1.93152,1.89721,0.00323571
155,6.13499,1.08905,0,1.71997,0,0.436185,0.723425,0.00518325,1.01688,1.13205,0.596968,0,0.0254301,0,0.0116207,1.91183,1.89638,0.0057557
156,6.17482,1.1175,0.0110037,1.72578,0,0.430743,0.664884,0.00328705,1.01162,1.13442,0.600954,0,0.0234451,0,0.0183879,1.89888,1.88901,0.0058285
157,6.21466,1.12317,0.0110037,1.72593,0,0.441889,0.651614,0.000334057,1.01258,1.13808,0.58834,0,0.0265091,0,0.0182901,1.88453,1.8947,0.00475447
158,6.2545,1.12164,0.0110037,1.71129,0,0.445778,0.626953,0.000334057,1.00238,1.1461,0.582017,0,0.00600854,0,0.0121994,1.91192,1.91476,0.00223448
159,6.29434,1.08916,0,1.70697,0,0.457911,0.709303,0.00292108,0.989922,1.14389,0.58005,0,0.00385801,0,0.00483147,1.9112,1.92327,0.00223516
160,6.33417,1.09106,0,1.7082,0,0.455041,0.669536,0.00258703,0.970563,1.149,0.58347,0,0,0,0.00468148,1.91411,1.94134,7.35E-05
161,6.37401,1.07144,0,1.71848,0,0.455056,0.71444,0.00258703,0.979542,1.14073,0.59032,0,0.00109799,0,0.00593978,1.88721,1.92696,7.35E-05
162,6.41385,1.10445,0,1.7093,0,0.453407,0.657106,0,0.982926,1.14879,0.579387,0,0.00109799,0,0.00601342,1.8935,1.93703,0
163,6.45369,1.09435,0,1.70683,0,0.453258,0.702509,0.00241371,1.00221,1.14433,0.582737,0,0.00109799,0,0.00500486,1.88198,1.91682,0
164,6.49352,1.09234,0,1.70726,0,0.454845,0.6608,0.00529568,1.00379,1.1445,0.591093,0,0,0,0.00619241,1.87991,1.9173,0
165,6.53336,1.08887,0,1.71691,0,0.458825,0.632841,0.00529568,0.992539,1.14908,0.59126,0,0,0,0.00885135,1.90094,1.94778,0
166,6.5732,1.08981,0,1.69812,0,0.454374,0.648952,0.00803707,0.985312,1.15661,0.598222,0,0,0,0.0102829,1.92493,1.95963,0
167,6.61304,1.10379,0,1.68749,0,0.451317,0.686573,0.0051551,0.984339,1.15343,0.600516,0,0.00988359,0,0.0133216,1.9364,1.95116,0
168,6.65287,1.097,0,1.68756,0,0.449044,0.763261,0.00610432,1.00341,1.14417,0.614105,0,0.0134643,0,0.00875525,1.89173,1.9283,0
169,6.69271,1.08789,0,1.69998,0,0.453304,0.71065,0.00386757,1.00397,1.13419,0.609475,0,0.0155127,0,0.0126294,1.88833,1.90502,0
170,6.73255,1.09677,0,1.70298,0,0.461526,0.657162,0.00386757,0.984936,1.14172,0.596446,0,0.00562914,0,0.00655914,1.90557,1.93728,0
171,6.77239,1.08969,0,1.69635,0,0.458379,0.585041,0.00291835,0.973202,1.14335,0.590157,0,0.00226402,0,0.0105451,1.93274,1.91714,0
172,6.81222,1.11221,0,1.70461,0,0.455944,0.632645,0.00379214,0.986005,1.14925,0.591187,0,0.000215555,0,0.00502728,1.91985,1.93136,0
173,6.85206,1.11101,0,1.7002,0,0.452597,0.605281,0.00379214,0.996904,1.14897,0.574197,0,0.000215555,0,0.0116025,1.91072,1.90956,0
174,6.8919,1.11792,0,1.69348,0,0.45903,0.664996,0.00379214,1.00586,1.15523,0.587569,0,0,0,0.00761646,1.91986,1.91652,0
